Campaign,Ad Group,Keyword,Criterion Type,Max CPC,Final URL,Campaign Status,Ad Group Status,Status,Comment
SZ_Search_BayArea_ExactPhrase_2026,Temperature Issues,sub zero refrigerator warm freezer cold,Phrase,37.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Temperature Issues | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Temperature Issues,freezer works but sub zero refrigerator is warm,Exact,37.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Temperature Issues | Exact
SZ_Search_BayArea_ExactPhrase_2026,Temperature Issues,freezer works but sub zero refrigerator is warm,Phrase,37.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Temperature Issues | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Temperature Issues,sub zero refrigerator freezer is cold but refrigerator is warm,Exact,37.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Temperature Issues | Exact
SZ_Search_BayArea_ExactPhrase_2026,Temperature Issues,sub zero refrigerator freezer is cold but refrigerator is warm,Phrase,37.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Temperature Issues | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Water Leak Repair,water not coming out of sub zero refrigerator,Exact,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Water Leak Repair | Exact
SZ_Search_BayArea_ExactPhrase_2026,Water Leak Repair,water not coming out of sub zero refrigerator,Phrase,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Water Leak Repair | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Ice Maker Repair,my sub zero refrigerator stopped making ice,Exact,40.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Ice Maker Repair | Exact
SZ_Search_BayArea_ExactPhrase_2026,Ice Maker Repair,my sub zero refrigerator stopped making ice,Phrase,40.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Ice Maker Repair | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Ice Maker Repair,sub zero refrigerator stopped making ice,Exact,40.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Ice Maker Repair | Exact
SZ_Search_BayArea_ExactPhrase_2026,Ice Maker Repair,sub zero refrigerator stopped making ice,Phrase,40.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Ice Maker Repair | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Door Seal Repair,sub zero refrigerator door ajar light stays on,Exact,36.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Door Seal Repair | Exact
SZ_Search_BayArea_ExactPhrase_2026,Door Seal Repair,sub zero refrigerator door ajar light stays on,Phrase,36.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Door Seal Repair | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Noise Compressor Fan,sub zero refrigerator runs continuously,Exact,36.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Noise Compressor Fan | Exact
SZ_Search_BayArea_ExactPhrase_2026,Noise Compressor Fan,sub zero refrigerator runs continuously,Phrase,36.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Noise Compressor Fan | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Door Seal Repair,sub zero refrigerator door hinsub zero repair,Exact,36.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Door Seal Repair | Exact
SZ_Search_BayArea_ExactPhrase_2026,Door Seal Repair,sub zero refrigerator door hinsub zero repair,Phrase,36.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Door Seal Repair | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Door Seal Repair,sub zero refrigerator door seal repair,Exact,36.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Door Seal Repair | Exact
SZ_Search_BayArea_ExactPhrase_2026,Door Seal Repair,sub zero refrigerator door seal repair,Phrase,36.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Door Seal Repair | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Door Seal Repair,sub zero refrigerator double door repair,Exact,36.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Door Seal Repair | Exact
SZ_Search_BayArea_ExactPhrase_2026,Door Seal Repair,sub zero refrigerator double door repair,Phrase,36.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Door Seal Repair | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Door Seal Repair,sub zero refrigerator door problems,Exact,36.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Door Seal Repair | Exact
SZ_Search_BayArea_ExactPhrase_2026,Door Seal Repair,sub zero refrigerator door problems,Phrase,36.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Door Seal Repair | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Temperature Issues,sub zero refrigerator light bulb not working,Exact,37.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Temperature Issues | Exact
SZ_Search_BayArea_ExactPhrase_2026,Temperature Issues,sub zero refrigerator light bulb not working,Phrase,37.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Temperature Issues | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Temperature Issues,sub zero refrigerator light not working,Exact,37.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Temperature Issues | Exact
SZ_Search_BayArea_ExactPhrase_2026,Temperature Issues,sub zero refrigerator light not working,Phrase,37.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Temperature Issues | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Water Leak Repair,sub zero refrigerator water filter leaking,Exact,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Water Leak Repair | Exact
SZ_Search_BayArea_ExactPhrase_2026,Water Leak Repair,sub zero refrigerator water filter leaking,Phrase,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Water Leak Repair | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Water Leak Repair,sub zero refrigerator leaking water from top,Exact,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Water Leak Repair | Exact
SZ_Search_BayArea_ExactPhrase_2026,Water Leak Repair,sub zero refrigerator leaking water from top,Phrase,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Water Leak Repair | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Water Leak Repair,sub zero refrigerator leaking water,Exact,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Water Leak Repair | Exact
SZ_Search_BayArea_ExactPhrase_2026,Water Leak Repair,sub zero refrigerator leaking water,Phrase,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Water Leak Repair | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Water Leak Repair,sub zero refrigerator leaking water on floor,Exact,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Water Leak Repair | Exact
SZ_Search_BayArea_ExactPhrase_2026,Water Leak Repair,sub zero refrigerator leaking water on floor,Phrase,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Water Leak Repair | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Water Leak Repair,sub zero refrigerator leaking on floor,Exact,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Water Leak Repair | Exact
SZ_Search_BayArea_ExactPhrase_2026,Water Leak Repair,sub zero refrigerator leaking on floor,Phrase,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Water Leak Repair | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Water Leak Repair,sub zero refrigerator leaking,Exact,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Water Leak Repair | Exact
SZ_Search_BayArea_ExactPhrase_2026,Water Leak Repair,sub zero refrigerator leaking,Phrase,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Water Leak Repair | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Water Leak Repair,sub zero refrigerator leaking water on the floor,Exact,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Water Leak Repair | Exact
SZ_Search_BayArea_ExactPhrase_2026,Water Leak Repair,sub zero refrigerator leaking water on the floor,Phrase,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Water Leak Repair | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Water Leak Repair,sub zero refrigerator leaking from bottom,Exact,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Water Leak Repair | Exact
SZ_Search_BayArea_ExactPhrase_2026,Water Leak Repair,sub zero refrigerator leaking from bottom,Phrase,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Water Leak Repair | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Water Leak Repair,sub zero refrigerator leaking water from bottom,Exact,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Water Leak Repair | Exact
SZ_Search_BayArea_ExactPhrase_2026,Water Leak Repair,sub zero refrigerator leaking water from bottom,Phrase,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Water Leak Repair | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Not Cooling Issues,sub zero refrigerator doesn t cool,Exact,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Not Cooling Issues | Exact
SZ_Search_BayArea_ExactPhrase_2026,Not Cooling Issues,sub zero refrigerator doesn t cool,Phrase,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Not Cooling Issues | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Noise Compressor Fan,sub zero refrigerator noise problems,Exact,36.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Noise Compressor Fan | Exact
SZ_Search_BayArea_ExactPhrase_2026,Noise Compressor Fan,sub zero refrigerator noise problems,Phrase,36.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Noise Compressor Fan | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Noise Compressor Fan,sub zero refrigerator fan noise,Exact,36.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Noise Compressor Fan | Exact
SZ_Search_BayArea_ExactPhrase_2026,Noise Compressor Fan,sub zero refrigerator fan noise,Phrase,36.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Noise Compressor Fan | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Noise Compressor Fan,sub zero refrigerator making loud noise,Exact,36.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Noise Compressor Fan | Exact
SZ_Search_BayArea_ExactPhrase_2026,Noise Compressor Fan,sub zero refrigerator making loud noise,Phrase,36.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Noise Compressor Fan | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Noise Compressor Fan,sub zero refrigerator noise problem,Exact,36.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Noise Compressor Fan | Exact
SZ_Search_BayArea_ExactPhrase_2026,Noise Compressor Fan,sub zero refrigerator noise problem,Phrase,36.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Noise Compressor Fan | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Temperature Issues,sub zero refrigerator light wont come on,Exact,37.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Temperature Issues | Exact
SZ_Search_BayArea_ExactPhrase_2026,Temperature Issues,sub zero refrigerator light wont come on,Phrase,37.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Temperature Issues | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Core Near Me,who services sub zero refrigerators near me,Exact,44.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Core Near Me | Exact
SZ_Search_BayArea_ExactPhrase_2026,Core Near Me,who services sub zero refrigerators near me,Phrase,44.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Core Near Me | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Door Seal Repair,sub zero refrigerator door seal service,Exact,36.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Door Seal Repair | Exact
SZ_Search_BayArea_ExactPhrase_2026,Door Seal Repair,sub zero refrigerator door seal service,Phrase,36.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Door Seal Repair | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Not Cooling Issues,sub zero refrigerator water not working,Exact,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Not Cooling Issues | Exact
SZ_Search_BayArea_ExactPhrase_2026,Not Cooling Issues,sub zero refrigerator water not working,Phrase,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Not Cooling Issues | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Not Cooling Issues,sub zero refrigerator evaporator fan not working,Exact,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Not Cooling Issues | Exact
SZ_Search_BayArea_ExactPhrase_2026,Not Cooling Issues,sub zero refrigerator evaporator fan not working,Phrase,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Not Cooling Issues | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Not Cooling Issues,my sub zero refrigerator is not working,Exact,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Not Cooling Issues | Exact
SZ_Search_BayArea_ExactPhrase_2026,Not Cooling Issues,my sub zero refrigerator is not working,Phrase,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Not Cooling Issues | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Not Cooling Issues,sub zero refrigerator temperature control not working,Exact,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Not Cooling Issues | Exact
SZ_Search_BayArea_ExactPhrase_2026,Not Cooling Issues,sub zero refrigerator temperature control not working,Phrase,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Not Cooling Issues | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Not Cooling Issues,sub zero refrigerator control panel not working,Exact,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Not Cooling Issues | Exact
SZ_Search_BayArea_ExactPhrase_2026,Not Cooling Issues,sub zero refrigerator control panel not working,Phrase,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Not Cooling Issues | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Not Cooling Issues,sub zero refrigerator panel not working,Exact,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Not Cooling Issues | Exact
SZ_Search_BayArea_ExactPhrase_2026,Not Cooling Issues,sub zero refrigerator panel not working,Phrase,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Not Cooling Issues | Phrase
