Campaign,Ad Group,Keyword,Criterion Type,Max CPC,Final URL,Campaign Status,Ad Group Status,Status,Comment
SZ_Search_BayArea_Full_PRO,Ice Maker Not Working,ice maker not working on sub zero fridge,Exact,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Ice Maker Not Working | Exact
SZ_Search_BayArea_Full_PRO,Ice Maker Not Working,ice maker not working on sub zero fridge,Phrase,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Ice Maker Not Working | Phrase
SZ_Search_BayArea_Full_PRO,Ice Maker Not Working,ice maker not working on sub zero refrigerator,Exact,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Ice Maker Not Working | Exact
SZ_Search_BayArea_Full_PRO,Ice Maker Not Working,ice maker not working on sub zero refrigerator,Phrase,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Ice Maker Not Working | Phrase
SZ_Search_BayArea_Full_PRO,Ice Maker Not Working,ice maker not working sub zero,Exact,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Ice Maker Not Working | Exact
SZ_Search_BayArea_Full_PRO,Ice Maker Not Working,ice maker not working sub zero,Phrase,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Ice Maker Not Working | Phrase
SZ_Search_BayArea_Full_PRO,Ice Maker Not Working,ice maker not working sub zero refrigerator,Exact,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Ice Maker Not Working | Exact
SZ_Search_BayArea_Full_PRO,Ice Maker Not Working,ice maker not working sub zero refrigerator,Phrase,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Ice Maker Not Working | Phrase
SZ_Search_BayArea_Full_PRO,Refrigerator Not Working,ice maker on sub zero fridge not working,Exact,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Not Working | Exact
SZ_Search_BayArea_Full_PRO,Refrigerator Not Working,ice maker on sub zero fridge not working,Phrase,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Not Working | Phrase
SZ_Search_BayArea_Full_PRO,Refrigerator Repair Core,ice maker quit working sub zero refrigerator,Exact,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Repair Core | Exact
SZ_Search_BayArea_Full_PRO,Refrigerator Repair Core,ice maker quit working sub zero refrigerator,Phrase,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Repair Core | Phrase
SZ_Search_BayArea_Full_PRO,Refrigerator Repair Core,ice maker stopped making ice sub zero,Exact,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Repair Core | Exact
SZ_Search_BayArea_Full_PRO,Refrigerator Repair Core,ice maker stopped making ice sub zero,Phrase,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Repair Core | Phrase
SZ_Search_BayArea_Full_PRO,Ice Not Making,ice maker sub zero not making ice,Exact,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Ice Not Making | Exact
SZ_Search_BayArea_Full_PRO,Ice Not Making,ice maker sub zero not making ice,Phrase,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Ice Not Making | Phrase
SZ_Search_BayArea_Full_PRO,Refrigerator Repair Core,ice maker sub zero not working,Exact,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Repair Core | Exact
SZ_Search_BayArea_Full_PRO,Refrigerator Repair Core,ice maker sub zero not working,Phrase,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Repair Core | Phrase
SZ_Search_BayArea_Full_PRO,Refrigerator Repair Core,ice not coming out of sub zero fridge,Exact,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Repair Core | Exact
SZ_Search_BayArea_Full_PRO,Refrigerator Repair Core,ice not coming out of sub zero fridge,Phrase,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Repair Core | Phrase
SZ_Search_BayArea_Full_PRO,Ice Maker Not Working,in door sub zero ice maker not working,Exact,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Ice Maker Not Working | Exact
SZ_Search_BayArea_Full_PRO,Ice Maker Not Working,in door sub zero ice maker not working,Phrase,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Ice Maker Not Working | Phrase
SZ_Search_BayArea_Full_PRO,Appliance Repair Core,local sub zero appliance repair,Exact,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Appliance Repair Core | Exact
SZ_Search_BayArea_Full_PRO,Appliance Repair Core,local sub zero appliance repair,Phrase,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Appliance Repair Core | Phrase
SZ_Search_BayArea_Full_PRO,Near Me Core,local sub zero appliance repair near me,Exact,41.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Near Me Core | Exact
SZ_Search_BayArea_Full_PRO,Near Me Core,local sub zero appliance repair near me,Phrase,41.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Near Me Core | Phrase
SZ_Search_BayArea_Full_PRO,Appliance Repair Core,local sub zero repair service,Exact,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Appliance Repair Core | Exact
SZ_Search_BayArea_Full_PRO,Appliance Repair Core,local sub zero repair service,Phrase,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Appliance Repair Core | Phrase
SZ_Search_BayArea_Full_PRO,Freezer Not Freezing,my sub zero freezer is not freezing,Exact,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Freezer Not Freezing | Exact
SZ_Search_BayArea_Full_PRO,Freezer Not Freezing,my sub zero freezer is not freezing,Phrase,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Freezer Not Freezing | Phrase
SZ_Search_BayArea_Full_PRO,Freezer Not Freezing,my sub zero freezer not freezing,Exact,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Freezer Not Freezing | Exact
SZ_Search_BayArea_Full_PRO,Freezer Not Freezing,my sub zero freezer not freezing,Phrase,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Freezer Not Freezing | Phrase
SZ_Search_BayArea_Full_PRO,Fridge Not Cooling,my sub zero fridge is not cooling,Exact,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Fridge Not Cooling | Exact
SZ_Search_BayArea_Full_PRO,Fridge Not Cooling,my sub zero fridge is not cooling,Phrase,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Fridge Not Cooling | Phrase
SZ_Search_BayArea_Full_PRO,Ice Not Making,my sub zero fridge is not making ice,Exact,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Ice Not Making | Exact
SZ_Search_BayArea_Full_PRO,Ice Not Making,my sub zero fridge is not making ice,Phrase,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Ice Not Making | Phrase
SZ_Search_BayArea_Full_PRO,Refrigerator Repair Core,my sub zero fridge isn t making ice,Exact,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Repair Core | Exact
SZ_Search_BayArea_Full_PRO,Refrigerator Repair Core,my sub zero fridge isn t making ice,Phrase,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Repair Core | Phrase
SZ_Search_BayArea_Full_PRO,Fridge Not Cooling,my sub zero fridge not cooling,Exact,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Fridge Not Cooling | Exact
SZ_Search_BayArea_Full_PRO,Fridge Not Cooling,my sub zero fridge not cooling,Phrase,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Fridge Not Cooling | Phrase
SZ_Search_BayArea_Full_PRO,Refrigerator Repair Core,my sub zero fridge stopped making ice,Exact,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Repair Core | Exact
SZ_Search_BayArea_Full_PRO,Refrigerator Repair Core,my sub zero fridge stopped making ice,Phrase,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Repair Core | Phrase
SZ_Search_BayArea_Full_PRO,Ice Not Making,my sub zero ice maker is not making ice,Exact,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Ice Not Making | Exact
SZ_Search_BayArea_Full_PRO,Ice Not Making,my sub zero ice maker is not making ice,Phrase,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Ice Not Making | Phrase
SZ_Search_BayArea_Full_PRO,Refrigerator Repair Core,my sub zero ice maker is not working,Exact,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Repair Core | Exact
SZ_Search_BayArea_Full_PRO,Refrigerator Repair Core,my sub zero ice maker is not working,Phrase,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Repair Core | Phrase
SZ_Search_BayArea_Full_PRO,Refrigerator Repair Core,my sub zero ice maker stopped making ice,Exact,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Repair Core | Exact
SZ_Search_BayArea_Full_PRO,Refrigerator Repair Core,my sub zero ice maker stopped making ice,Phrase,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Repair Core | Phrase
SZ_Search_BayArea_Full_PRO,Refrigerator Repair Core,my sub zero ice maker stopped working,Exact,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Repair Core | Exact
SZ_Search_BayArea_Full_PRO,Refrigerator Repair Core,my sub zero ice maker stopped working,Phrase,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Repair Core | Phrase
SZ_Search_BayArea_Full_PRO,Ice Not Making,my sub zero is not making ice,Exact,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Ice Not Making | Exact
SZ_Search_BayArea_Full_PRO,Ice Not Making,my sub zero is not making ice,Phrase,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Ice Not Making | Phrase
SZ_Search_BayArea_Full_PRO,Freezer Not Freezing,my sub zero refrigerator freezer is not freezing,Exact,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Freezer Not Freezing | Exact
SZ_Search_BayArea_Full_PRO,Freezer Not Freezing,my sub zero refrigerator freezer is not freezing,Phrase,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Freezer Not Freezing | Phrase
SZ_Search_BayArea_Full_PRO,Fridge Not Cooling,my sub zero refrigerator is not cold enough,Exact,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Fridge Not Cooling | Exact
SZ_Search_BayArea_Full_PRO,Fridge Not Cooling,my sub zero refrigerator is not cold enough,Phrase,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Fridge Not Cooling | Phrase
SZ_Search_BayArea_Full_PRO,Fridge Not Cooling,my sub zero refrigerator is not cooling,Exact,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Fridge Not Cooling | Exact
SZ_Search_BayArea_Full_PRO,Fridge Not Cooling,my sub zero refrigerator is not cooling,Phrase,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Fridge Not Cooling | Phrase
SZ_Search_BayArea_Full_PRO,Refrigerator Repair Core,my sub zero refrigerator is not dispensing ice,Exact,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Repair Core | Exact
SZ_Search_BayArea_Full_PRO,Refrigerator Repair Core,my sub zero refrigerator is not dispensing ice,Phrase,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Repair Core | Phrase
SZ_Search_BayArea_Full_PRO,Ice Not Making,my sub zero refrigerator is not making ice,Exact,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Ice Not Making | Exact
SZ_Search_BayArea_Full_PRO,Ice Not Making,my sub zero refrigerator is not making ice,Phrase,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Ice Not Making | Phrase
SZ_Search_BayArea_Full_PRO,Refrigerator Repair Core,my sub zero refrigerator is not working,Exact,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Repair Core | Exact
SZ_Search_BayArea_Full_PRO,Refrigerator Repair Core,my sub zero refrigerator is not working,Phrase,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Repair Core | Phrase
SZ_Search_BayArea_Full_PRO,Refrigerator Repair Core,my sub zero refrigerator stopped making ice,Exact,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Repair Core | Exact
SZ_Search_BayArea_Full_PRO,Refrigerator Repair Core,my sub zero refrigerator stopped making ice,Phrase,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Repair Core | Phrase
SZ_Search_BayArea_Full_PRO,Wine Cooler Repair,my sub zero wine fridge not cooling,Exact,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Wine Cooler Repair | Exact
SZ_Search_BayArea_Full_PRO,Wine Cooler Repair,my sub zero wine fridge not cooling,Phrase,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Wine Cooler Repair | Phrase
SZ_Search_BayArea_Full_PRO,Fridge Not Cooling,new sub zero fridge not cooling,Exact,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Fridge Not Cooling | Exact
SZ_Search_BayArea_Full_PRO,Fridge Not Cooling,new sub zero fridge not cooling,Phrase,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Fridge Not Cooling | Phrase
SZ_Search_BayArea_Full_PRO,Ice Not Making,new sub zero fridge not making ice,Exact,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Ice Not Making | Exact
SZ_Search_BayArea_Full_PRO,Ice Not Making,new sub zero fridge not making ice,Phrase,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Ice Not Making | Phrase
SZ_Search_BayArea_Full_PRO,Ice Maker Not Working,new sub zero ice maker not working,Exact,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Ice Maker Not Working | Exact
SZ_Search_BayArea_Full_PRO,Ice Maker Not Working,new sub zero ice maker not working,Phrase,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Ice Maker Not Working | Phrase
SZ_Search_BayArea_Full_PRO,Fridge Not Cooling,new sub zero refrigerator not cooling,Exact,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Fridge Not Cooling | Exact
SZ_Search_BayArea_Full_PRO,Fridge Not Cooling,new sub zero refrigerator not cooling,Phrase,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Fridge Not Cooling | Phrase
